                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0669,                 3.6493,                  2.084,                0.05256,                 0.0559,                0.02106,                0.00405,                 2.6738,                 6.1346,                 2.6244,             0.00035975,             0.00035975,             0.00035975
                      2,                 1.8816,                 3.0274,                 1.9468,                0.02411,                 0.0797,                0.01217,                 0.0041,                 2.8531,                 10.427,                 2.9834,             0.00072719,             0.00072719,             0.00072719
                      3,                 1.9148,                 2.8623,                 1.9747,                0.44315,                 0.0452,                0.01319,                0.00428,                 3.2225,                 16.004,                 4.4723,              0.0010917,              0.0010917,              0.0010917
                      4,                  1.857,                 2.7539,                 1.9726,                0.00642,                 0.0795,                 0.0057,                0.00184,                 2.7338,                 7.0916,                 2.9233,              0.0010978,              0.0010978,              0.0010978
                      5,                 1.8544,                 2.6516,                 1.9609,                0.09796,                0.04492,                0.02159,                0.00851,                 3.0488,                 7.0114,                 3.2268,              0.0010934,              0.0010934,              0.0010934
                      6,                  1.824,                 2.6128,                 1.9304,                0.03006,                0.11073,                0.02303,                0.00707,                 2.9493,                 4.9535,                 3.1843,               0.001089,               0.001089,               0.001089
                      7,                 1.7477,                 2.4354,                  1.847,                0.05153,                 0.0679,                 0.0246,                0.00477,                 2.7331,                  4.787,                 2.7692,              0.0010846,              0.0010846,              0.0010846
                      8,                   1.77,                 2.4095,                 1.8834,                0.02822,                 0.0991,                0.01865,                0.00521,                 2.7767,                 4.6693,                 2.8793,              0.0010802,              0.0010802,              0.0010802
                      9,                 1.6937,                 2.2859,                 1.8263,                0.01513,                0.08569,                0.01009,                 0.0029,                 2.5663,                 4.0444,                 2.8895,              0.0010758,              0.0010758,              0.0010758
                     10,                 1.7008,                 2.2441,                 1.8392,                0.03488,                0.08173,                0.01388,                0.00447,                 2.6092,                 4.0141,                 2.9227,              0.0010714,              0.0010714,              0.0010714
                     11,                 1.6449,                 2.1381,                 1.7833,                 0.0385,                0.07784,                0.03199,                 0.0105,                 2.5726,                 3.9147,                 2.7991,               0.001067,               0.001067,               0.001067
                     12,                 1.6084,                 2.0171,                 1.7532,                0.09885,                0.07284,                0.03411,                0.01109,                 2.6751,                 3.8961,                 2.8211,              0.0010626,              0.0010626,              0.0010626
                     13,                 1.5962,                 1.9812,                 1.7343,                0.05758,                0.06829,                0.01747,                0.00401,                  3.061,                 4.2019,                 3.1686,              0.0010582,              0.0010582,              0.0010582
